Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Proficiency Level,Knowledge,Application,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6
6.5.3,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,Interagency agreements development,ADVANCED,Expert in interagency agreements and partnership structures,Leads complex agreement development and governance,Develops complex multi-party agreements,Designs governance structures for interagency initiatives,Negotiates contentious agreement provisions,Develops innovative agreement approaches,Ensures agreement effectiveness and accountability,Provides agreement drafting training
6.5.3,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,Interagency agreements development,EXPERT,Shapes interagency agreement practice,Influences collaborative governance frameworks,Develops influential agreement frameworks,Influences policy on interagency agreements,Leads major interagency partnership development,Recognized expert in collaborative governance,Advances interagency cooperation through innovative agreements,Transforms partnership approaches
6.5.4,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,Cross-jurisdictional planning,FOUNDATIONAL,Understands cross-boundary issues and planning needs,Supports cross-jurisdictional planning,Identifies environmental issues crossing boundaries,Assists with multi-jurisdictional planning processes,Compiles information from multiple jurisdictions,Participates in cross-boundary meetings,Maps jurisdictional boundaries and overlaps,Documents stakeholder input from multiple jurisdictions
6.5.4,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,Cross-jurisdictional planning,INTERMEDIATE,Applies landscape-scale planning principles,Coordinates cross-jurisdictional planning,Coordinates planning across jurisdictional boundaries,Facilitates multi-jurisdictional stakeholder processes,Harmonizes goals and approaches across jurisdictions,Addresses regulatory inconsistencies across boundaries,Develops shared visions and objectives,Uses common data and methods across jurisdictions
6.5.4,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,Cross-jurisdictional planning,ADVANCED,Expert in landscape-scale planning and governance,Leads major cross-jurisdictional planning initiatives,Designs comprehensive landscape-scale planning processes,Builds governance structures for cross-boundary management,Resolves conflicts between jurisdictions,Coordinates implementation across multiple agencies and organizations,Secures funding for cross-boundary initiatives,Evaluates long-term effectiveness of landscape planning
6.5.4,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,Cross-jurisdictional planning,EXPERT,Shapes landscape governance practice,Transforms cross-jurisdictional planning,Develops innovative landscape governance frameworks,Influences policy on cross-boundary planning,Leads transformative landscape-scale initiatives,Recognized expert in landscape governance,Publishes influential research on cross-jurisdictional planning,Advances collaborative landscape management
6.5.5,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,International conservation agreements,FOUNDATIONAL,Understands major international environmental agreements,Supports international agreement implementation,Explains major international conservation agreements,Assists with data collection for international reporting,Participates in international coordination meetings,Tracks international agreement obligations,Compiles information for international reports,Understands international conservation frameworks
6.5.5,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,International conservation agreements,INTERMEDIATE,Applies international agreement requirements,Coordinates international conservation activities,Implements international agreement commitments,Prepares reports for international conventions,Coordinates with international partners,Participates in bilateral conservation initiatives,Addresses transboundary conservation issues,Aligns domestic actions with international commitments
6.5.5,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,International conservation agreements,ADVANCED,Expert in international conservation policy and practice,Leads international conservation initiatives,Leads implementation of international conservation agreements,Negotiates bilateral conservation agreements,Coordinates transboundary conservation programs,Represents country or organization in international negotiations,Influences international conservation policy,Develops guidance for international agreement implementation
6.5.5,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,International conservation agreements,EXPERT,Shapes international conservation policy,Influences global conservation frameworks,Influences international conservation agreements and policy,Leads major international conservation initiatives,Represents country in international negotiations,"Contributes to global conservation frameworks (IPBES, CBD)",Recognized expert in international conservation,Publishes influential research on global conservation
6.6.1,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Carbon accounting and quantification,FOUNDATIONAL,Understands carbon accounting concepts and GHG protocols,Assists with carbon measurements and calculations,"Explains greenhouse gas accounting and reporting frameworks (GHG Protocol, ISO 14064)",Identifies emission sources and carbon pools,Collects field data for carbon calculations,Uses basic carbon estimation tools and equations,"Understands Scope 1, 2, and 3 emissions",Distinguishes carbon stocks from fluxes
6.6.1,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Carbon accounting and quantification,INTERMEDIATE,Applies carbon accounting methodologies and standards,Conducts carbon inventories and quantification,Conducts comprehensive GHG inventories for organizations,Quantifies carbon stocks and sequestration rates,"Applies carbon accounting protocols (VCS, CAR, Gold Standard)",Uses specialized carbon models and tools,Ensures accuracy and quality control in carbon accounting,Calculates emissions factors and activity data
6.6.1,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Carbon accounting and quantification,ADVANCED,Expert in carbon accounting science and verification,Leads carbon accounting programs and develops methodologies,Develops carbon accounting methodologies for novel project types,Conducts third-party verification of carbon quantification,Designs monitoring plans ensuring accuracy and permanence,Evaluates uncertainty and risk in carbon accounting,Provides carbon accounting training and quality assurance,Stays current with evolving carbon accounting standards
6.6.1,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Carbon accounting and quantification,EXPERT,Shapes carbon accounting standards and practice,Influences carbon accounting at systemic level,Contributes to development of carbon accounting standards,Serves on standard-setting bodies or technical committees,Publishes influential carbon accounting research,Recognized authority in carbon quantification,Influences carbon accounting policy,Advances carbon accounting methodology
6.6.2,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Biodiversity credits and habitat banking,FOUNDATIONAL,Understands biodiversity credit concepts and mitigation banking,Supports biodiversity credit projects,"Explains biodiversity credits, habitat banking, and species credits","Understands mitigation hierarchy (avoid, minimize, restore, offset)",Assists with baseline biodiversity assessments,Monitors biodiversity outcomes on credit projects,Maintains records for credit tracking,Understands equivalency and additionality concepts
6.6.2,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Biodiversity credits and habitat banking,INTERMEDIATE,Applies biodiversity credit methodologies and market mechanisms,Develops biodiversity credit projects,Develops biodiversity credit or habitat bank proposals,Quantifies biodiversity outcomes using appropriate metrics,Ensures equivalency between impacts and offsets,Navigates regulatory approval processes for credit projects,Develops monitoring plans for biodiversity outcomes,Facilitates credit transactions between parties
6.6.2,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Biodiversity credits and habitat banking,ADVANCED,Expert in biodiversity markets and credit methodologies,Leads biodiversity market initiatives and policy development,Designs innovative biodiversity credit methodologies,Establishes conservation banks or biodiversity programs,Develops guidance for biodiversity credit markets,Evaluates ecological effectiveness of biodiversity credits,"Addresses market challenges (liquidity, equivalency, additionality)",Provides training on biodiversity markets
6.6.2,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Biodiversity credits and habitat banking,EXPERT,Shapes biodiversity market practice and policy,Influences biodiversity markets at systemic level,Develops influential biodiversity credit frameworks,Influences policy on biodiversity markets and offsetting,Leads major biodiversity market initiatives,Contributes to international biodiversity credit standards,Recognized expert in biodiversity markets,Publishes influential research on biodiversity credits
6.6.3,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Environmental market transactions,FOUNDATIONAL,Understands environmental market structure and operation,Supports market transactions,Explains how environmental markets function,Understands difference between compliance and voluntary markets,Tracks environmental credit prices and market trends,Assists with credit registration and trading,Maintains transaction records,Understands registries and exchanges
6.6.3,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Environmental market transactions,INTERMEDIATE,Applies market analysis and transaction facilitation,Facilitates environmental market transactions,Evaluates environmental credit quality and pricing,Facilitates negotiations between buyers and sellers,Navigates credit registries and trading platforms,Conducts market analysis and price forecasting,Structures credit purchase agreements,Addresses transaction risks and due diligence
6.6.3,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Environmental market transactions,ADVANCED,Expert in environmental market dynamics and strategy,Leads market development and complex transactions,Develops environmental market strategies for clients,Structures complex multi-credit transactions,Evaluates market opportunities and risks,Provides market intelligence and analysis,Develops new market mechanisms or platforms,Addresses market barriers and liquidity challenges
6.6.3,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Environmental market transactions,EXPERT,Shapes environmental market development,Influences market policy and infrastructure,Develops influential market frameworks or platforms,Influences environmental market policy and regulation,Leads major market development initiatives,Recognized expert in environmental markets,Publishes influential market research,Advances market integrity and efficiency
6.6.4,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Conservation finance mechanisms,FOUNDATIONAL,Understands conservation finance concepts and mechanisms,Supports conservation finance initiatives,"Explains conservation finance mechanisms (PES, impact investment, green bonds)",Assists with financial modeling for conservation projects,Collects data on ecosystem service values and beneficiaries,Maintains records for conservation finance programs,Understands additionality and conditionality in payments,Identifies potential conservation finance opportunities
6.6.4,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Conservation finance mechanisms,INTERMEDIATE,Applies conservation finance principles and develops projects,Structures conservation finance mechanisms,Designs payment for ecosystem services programs,Develops financial models for conservation projects,Identifies conservation service providers and beneficiaries,Structures payment arrangements and contracts,Evaluates financial sustainability of conservation mechanisms,Builds partnerships for conservation finance
6.6.4,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Conservation finance mechanisms,ADVANCED,Expert in conservation finance and innovative funding,Leads conservation finance initiatives at scale,Develops sophisticated conservation finance structures,Structures green bonds or conservation trust funds,Designs blended finance for conservation,Evaluates social and environmental returns on investment,Builds investment-ready conservation projects,Attracts private capital to conservation
6.6.4,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Conservation finance mechanisms,EXPERT,Shapes conservation finance practice,Transforms conservation funding landscapes,Develops innovative conservation finance mechanisms,Influences conservation finance policy and investment,Leads major conservation finance initiatives,Publishes influential conservation finance research,Recognized expert in conservation finance,Mobilizes capital for conservation at scale
6.6.5,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Green bonds and sustainable investment,FOUNDATIONAL,Understands green bonds and sustainable investment concepts,Supports green bond issuance or investment analysis,"Explains green bonds, sustainability bonds, and transition bonds",Understands Green Bond Principles and Climate Bonds Standard,Assists with eligible project identification,Compiles information for green bond frameworks,Tracks use of proceeds from green bonds,Monitors green investment portfolios
6.6.5,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Green bonds and sustainable investment,INTERMEDIATE,Applies green finance standards and impact assessment,Structures green bonds or evaluates green investments,Develops green bond frameworks and use of proceeds,Identifies eligible projects meeting green criteria,Conducts environmental impact assessments for green bonds,Ensures compliance with green bond standards,Prepares impact reports for green bond investors,Evaluates greenwashing risks
6.6.5,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Green bonds and sustainable investment,ADVANCED,Expert in green finance and sustainable investment,Leads green bond programs and sustainable finance initiatives,Leads green bond issuance programs,Develops innovative sustainable finance instruments,Evaluates and improves green finance standards,Assesses environmental and financial performance,Builds investor relationships for green finance,Addresses challenges in green finance market
6.6.5,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Green bonds and sustainable investment,EXPERT,Shapes green finance practice and policy,Transforms sustainable investment markets,"Influences green finance standards (ICMA, CBI)",Develops innovative green finance mechanisms,Leads major green finance initiatives,Publishes influential sustainable finance research,Recognized expert in green finance,Advances sustainable finance mainstreaming
6.7.1,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Environmental health risk assessment,FOUNDATIONAL,Understands environmental health risk assessment concepts,Supports risk assessments with data collection,"Explains risk assessment steps (hazard identification, dose-response, exposure assessment, risk characterization)",Identifies environmental health hazards,Collects environmental sampling data,Assists with exposure pathway analysis,Understands dose-response relationships,Uses risk assessment databases and tools
6.7.1,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Environmental health risk assessment,INTERMEDIATE,Applies risk assessment methods and exposure modeling,Conducts environmental health risk assessments,Conducts exposure assessments for environmental contaminants,"Uses risk assessment models (EPA IRIS, CalTOX, RAGS)",Calculates cancer and non-cancer health risks,Evaluates multiple exposure pathways,Addresses uncertainty and variability in risk estimates,Assesses cumulative exposures and risks
6.7.1,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Environmental health risk assessment,ADVANCED,Expert in toxicology and risk assessment methodology,Leads complex risk assessments and develops approaches,Conducts sophisticated health risk assessments,Evaluates cumulative impacts from multiple stressors,Develops site-specific risk assessment approaches,Addresses emerging contaminants and novel exposures,Evaluates effectiveness of risk mitigation measures,Provides expert consultation on health risks
6.7.1,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Environmental health risk assessment,EXPERT,Shapes risk assessment science and policy,Influences risk assessment at systemic level,Develops innovative risk assessment methodologies,"Influences risk assessment guidance (EPA, ATSDR)",Publishes influential risk assessment research,Provides expert testimony on health risks,Recognized authority in environmental health risk assessment,Advances risk assessment science
6.7.2,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Environmental justice screening and assessment,FOUNDATIONAL,Understands environmental justice concepts and screening methods,Supports environmental justice assessments,Explains environmental justice and disproportionate impacts,"Uses EJ screening tools (EJSCREEN, CalEnviroScreen, CEJST)",Identifies environmental justice communities,Collects demographic and environmental data,Maps cumulative environmental burdens,Understands procedural and distributive justice
6.7.2,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Environmental justice screening and assessment,INTERMEDIATE,Applies EJ assessment frameworks and community engagement principles,Conducts environmental justice analyses,Conducts environmental justice analyses for projects,Evaluates disproportionate and adverse impacts,Assesses cumulative burdens in EJ communities,Facilitates meaningful community engagement,Identifies mitigation measures for EJ impacts,Integrates EJ considerations into decision-making
6.7.2,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Environmental justice screening and assessment,ADVANCED,Expert in environmental justice policy and practice,Leads environmental justice programs and policy integration,Develops environmental justice policies and procedures,Designs sophisticated EJ assessment approaches,Builds authentic partnerships with EJ communities,Addresses systemic environmental injustices,Evaluates effectiveness of EJ interventions,Provides EJ training and capacity building
6.7.2,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Environmental justice screening and assessment,EXPERT,Shapes environmental justice practice and policy,Transforms environmental justice at systemic level,"Influences environmental justice policy (federal, state)",Develops innovative EJ frameworks and approaches,Leads transformative environmental justice initiatives,Publishes influential environmental justice research,Recognized leader in environmental justice,Advances environmental justice movement
6.7.3,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Community-based participatory research (CBPR),FOUNDATIONAL,Understands CBPR principles and ethics,Supports CBPR projects as team member,Explains CBPR principles and community partnership,Builds respectful relationships with community members,Supports community engagement activities,Collects data with community input,Recognizes power dynamics in research,Understands community-identified priorities
6.7.3,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Community-based participatory research (CBPR),INTERMEDIATE,Applies CBPR methodology and partnership principles,Co-designs and implements CBPR projects,Co-develops research questions with community partners,Builds equitable research partnerships,Designs culturally appropriate research methods,Engages community members as co-researchers,Ensures community benefit from research,Interprets findings with community input
6.7.3,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Community-based participatory research (CBPR),ADVANCED,Expert in CBPR and community-engaged scholarship,Leads transformative CBPR initiatives,Designs comprehensive CBPR programs,Builds long-term community research partnerships,Ensures community ownership of research,Translates research to community action,Evaluates CBPR effectiveness and impact,Mentors researchers in CBPR practice
6.7.3,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Community-based participatory research (CBPR),EXPERT,Shapes CBPR practice and community-engaged scholarship,Transforms research-community relationships,Influences CBPR policy and funding,Develops innovative CBPR approaches,Leads major community-engaged research initiatives,Publishes influential CBPR research,Recognized leader in community-engaged scholarship,Advances community empowerment through research
6.7.4,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Toxicology and exposure pathways,FOUNDATIONAL,Understands basic toxicology and exposure concepts,Supports exposure assessments,Explains dose-response relationships and toxicity concepts,"Identifies exposure pathways (inhalation, ingestion, dermal)","Understands toxicity endpoints (acute, chronic, carcinogenic)",Recognizes vulnerable populations,Collects exposure data,"Uses toxicity databases (IRIS, ATSDR)"
6.7.4,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Toxicology and exposure pathways,INTERMEDIATE,Applies toxicology principles and exposure assessment methods,Conducts exposure assessments and evaluates toxicity,Evaluates toxicity of environmental contaminants,Conducts exposure pathway analyses,Estimates exposure doses for different scenarios,Assesses exposures for vulnerable populations,"Uses exposure models (CalTOX, SHEDS)",Evaluates bioavailability and uptake
6.7.4,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Toxicology and exposure pathways,ADVANCED,Expert in toxicology and exposure science,Leads complex toxicological and exposure assessments,Evaluates complex mixtures and cumulative exposures,Assesses emerging contaminants and novel exposures,Conducts biomonitoring studies,Develops exposure models for specific scenarios,Evaluates toxicity of understudied chemicals,Provides expert consultation on exposures and health effects
6.7.4,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Toxicology and exposure pathways,EXPERT,Shapes toxicology and exposure science,Influences exposure science at systemic level,Develops innovative exposure assessment approaches,Influences toxicology and exposure guidance,Publishes influential toxicology research,Recognized authority in environmental toxicology,Provides expert testimony on toxic exposures,Advances exposure science methodology
6.7.5,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Air quality management,FOUNDATIONAL,Understands air quality standards and monitoring,Supports air quality monitoring and assessment,Explains criteria air pollutants and standards (NAAQS),Operates air quality monitoring equipment,Collects air samples and maintains monitors,Analyzes air quality data,Understands emission sources and controls,Recognizes health effects of air pollution
6.7.5,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Air quality management,INTERMEDIATE,Applies air quality management and emissions control principles,Conducts air quality assessments and develops strategies,Conducts comprehensive air quality assessments,Evaluates emission inventories and source contributions,Develops air quality improvement plans,Assesses effectiveness of emission control strategies,Models air pollutant dispersion,Evaluates health impacts of air pollution
6.7.5,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Air quality management,ADVANCED,Expert in air quality science and policy,Leads air quality programs and policy development,Develops comprehensive air quality management programs,Models complex air quality scenarios,"Evaluates emerging air quality issues (wildfire smoke, ultrafine particles)",Develops innovative emission reduction strategies,Addresses environmental justice in air quality,Provides air quality training and capacity building
6.7.5,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Air quality management,EXPERT,Shapes air quality practice and policy,Influences air quality at systemic level,Influences air quality standards and policy,Develops innovative air quality management approaches,"Leads major air quality programs (state, regional)",Publishes influential air quality research,Recognized expert in air quality management,Provides expert testimony on air quality
6.8.1,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Climate finance mechanisms,FOUNDATIONAL,Understands climate finance landscape and mechanisms,Supports climate finance proposal development,"Explains climate finance sources (multilateral funds, bilateral aid, private finance)","Identifies major climate funds (GCF, GEF, AF, CIF)",Understands mitigation vs. adaptation finance,Assists with proposal preparation,Compiles financial data for proposals,Tracks climate finance opportunities
6.8.1,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Climate finance mechanisms,INTERMEDIATE,Applies climate finance mechanisms and proposal development,Develops climate finance proposals and accesses funding,Develops proposals for climate finance sources,Structures project budgets and financial models,Navigates climate fund application processes,Demonstrates climate rationale and impact,Develops co-financing arrangements,Ensures alignment with climate finance criteria
6.8.1,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Climate finance mechanisms,ADVANCED,Expert in climate finance architecture and innovative financing,Leads climate finance programs and develops new mechanisms,Designs comprehensive climate finance strategies,Structures blended finance for climate projects,Develops innovative climate finance mechanisms,Accredits organizations to climate funds,Builds pipelines of investment-ready climate projects,Evaluates climate finance effectiveness and impact
6.8.1,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Climate finance mechanisms,EXPERT,Shapes climate finance architecture and policy,Transforms climate finance at systemic level,"Influences climate finance policy (UNFCCC, MDBs)",Develops transformative climate finance mechanisms,Leads major climate finance initiatives,Publishes influential climate finance research,Recognized expert in climate finance,Advances climate finance scale and effectiveness
6.8.2,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Green bonds and climate bonds,FOUNDATIONAL,Understands green/climate bonds and their use for climate projects,Supports climate bond issuance or analysis,"Explains green bonds, climate bonds, sustainability-linked bonds",Understands Climate Bonds Standard and taxonomy,Identifies climate-eligible projects,Assists with bond framework development,Tracks use of proceeds for climate projects,Compiles data for impact reporting
6.8.2,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Green bonds and climate bonds,INTERMEDIATE,Applies climate bond standards and develops issuances,Structures climate bonds and evaluates investments,Develops climate bond frameworks,Identifies and evaluates climate-eligible projects,Ensures compliance with Climate Bonds Standard,Coordinates external reviews and verification,Prepares climate impact reports,Markets climate bonds to investors
6.8.2,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Green bonds and climate bonds,ADVANCED,Expert in climate bond market and climate finance,Leads climate bond programs and market development,Leads climate bond issuance programs,Develops innovative climate finance instruments,Evaluates climate and financial performance,Builds climate bond investor base,Influences climate bond market development,Provides climate bond training
6.8.2,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Green bonds and climate bonds,EXPERT,Shapes climate bond practice and policy,Transforms climate bond markets,"Influences climate bond standards (CBI, ICMA)",Develops transformative climate bond mechanisms,Leads major climate bond initiatives,Publishes influential climate bond research,Recognized expert in climate bonds,Mobilizes capital for climate through bonds at scale
6.8.3,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Carbon markets and trading,FOUNDATIONAL,Understands carbon markets and trading mechanisms,Supports carbon market activities,Explains compliance vs. voluntary carbon markets,Understands cap-and-trade systems,Tracks carbon prices and market trends,Assists with carbon project registration,Maintains carbon credit records,Understands carbon market regulations
6.8.3,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Carbon markets and trading,INTERMEDIATE,Applies carbon market mechanisms and develops projects,Develops carbon projects and participates in trading,Develops carbon offset projects for markets,Navigates carbon market regulations and requirements,Evaluates carbon market opportunities,Facilitates carbon credit transactions,Ensures project compliance with market rules,Analyzes carbon market price dynamics
6.8.3,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Carbon markets and trading,ADVANCED,Expert in carbon markets and policy,Leads carbon market programs and policy development,Develops carbon market strategies at scale,Influences carbon market design and policy,Manages complex carbon portfolios,Evaluates environmental integrity of carbon markets,"Addresses market challenges (price volatility, oversupply)",Provides carbon market training
6.8.3,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Carbon markets and trading,EXPERT,Shapes carbon market policy and architecture,Transforms carbon markets systemically,"Influences carbon market policy (national, international)",Develops innovative carbon market mechanisms,Leads major carbon market initiatives,Publishes influential carbon market research,Recognized expert in carbon markets,Advances carbon pricing globally
6.8.4,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Adaptation finance,FOUNDATIONAL,Understands adaptation finance needs and sources,Supports adaptation finance proposals,Explains adaptation finance and its importance,"Identifies adaptation finance sources (AF, LDCF, private)",Understands adaptation vs. mitigation finance,Assists with adaptation project proposals,Collects data on adaptation needs and benefits,Tracks adaptation finance opportunities
6.8.4,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Adaptation finance,INTERMEDIATE,Applies adaptation finance mechanisms,Develops adaptation finance proposals and projects,Develops proposals for adaptation finance,Demonstrates climate adaptation rationale,Structures adaptation project budgets,Ensures adaptation finance additionality,Monitors adaptation project implementation,Reports on adaptation outcomes and impact
6.8.4,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Adaptation finance,ADVANCED,Expert in adaptation finance and project development,Leads adaptation finance programs,Designs comprehensive adaptation finance strategies,Structures innovative adaptation finance mechanisms,Builds adaptation project pipelines,Evaluates adaptation investment priorities,Mobilizes private capital for adaptation,Provides adaptation finance training
6.8.4,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Adaptation finance,EXPERT,Shapes adaptation finance architecture,Transforms adaptation finance systemically,"Influences adaptation finance policy (UNFCCC, MDBs)",Develops transformative adaptation finance mechanisms,Leads major adaptation finance initiatives,Publishes influential adaptation finance research,Recognized expert in adaptation finance,Mobilizes adaptation finance at scale
6.8.5,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Climate investment risk assessment,FOUNDATIONAL,Understands climate-related financial risks,Supports climate risk assessments,Explains physical vs. transition risks,Understands climate risk frameworks (TCFD),Identifies climate risks to assets or operations,Collects data for climate risk assessments,Assists with climate scenario analysis,Understands climate risk disclosure
6.8.5,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Climate investment risk assessment,INTERMEDIATE,Applies climate risk assessment methods,Conducts climate risk assessments,Conducts climate risk assessments for investments,"Evaluates physical climate risks (extreme events, chronic changes)","Assesses transition risks (policy, technology, market shifts)",Uses climate scenario analysis,Develops climate risk disclosure reports,Integrates climate risk into financial analysis
6.8.5,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Climate investment risk assessment,ADVANCED,Expert in climate risk and financial analysis,Leads climate risk programs and strategy,Designs comprehensive climate risk frameworks,Conducts sophisticated climate scenario analysis,Integrates climate risk into investment decisions systematically,Develops climate risk management strategies,Evaluates portfolio-level climate risks,Provides climate risk training and capacity building
6.8.5,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Climate investment risk assessment,EXPERT,Shapes climate risk practice and disclosure,Transforms climate risk in financial sector,"Influences climate risk standards (TCFD, ISSB)",Develops innovative climate risk approaches,Leads climate risk initiatives across sector,Publishes influential climate risk research,Recognized expert in climate-related financial risk,Advances climate risk disclosure and integration
7.1.1,7,Cross-Cutting Professional Practice,7.1,PROFESSIONAL ETHICS ARCHITECTURE,Indigenous data sovereignty and governance,FOUNDATIONAL,"Understands that data sovereignty is a rights issue, not a data management protocol; distinguishes FAIR from CARE Principles; recognizes when data collection triggers Indigenous data sovereignty obligations",Follows established Indigenous data governance protocols with supervision; identifies relevant tribal data governance requirements for a given project,Explains the distinction between data privacy (protecting individuals) and data sovereignty (tribal governance authority over collective data),Identifies the four CARE Principles and how each applies to environmental data contexts,"Recognizes project contexts where Indigenous data sovereignty obligations apply (monitoring on tribal lands, TEK documentation, wildlife surveys in Indigenous territories)",Locates relevant tribal data governance policies and agreements for a given project area,,
7.1.1,7,Cross-Cutting Professional Practice,7.1,PROFESSIONAL ETHICS ARCHITECTURE,Indigenous data sovereignty and governance,INTERMEDIATE,Applies CARE Principles to specific project contexts; understands FPIC as it applies to data collection and use; understands conflicts between standard agency data management requirements and tribal data governance requirements,Designs data governance frameworks that satisfy FPIC standards; engages tribal data governance offices as institutional partners,"Designs data sharing agreements that protect tribal authority over data use, redistribution, and publication",Identifies points of conflict between federal or state data management mandates and tribal data sovereignty requirements,Facilitates co-development of monitoring protocols that respect tribal authority over data about their lands and resources,Advises project teams on culturally appropriate data collection practices and attribution requirements,,
