Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Description,Job Task 1,Job Task 2,Job Task 3,Foundational - Knowledge,Foundational - Application,Intermediate - Knowledge,Intermediate - Application,Advanced - Knowledge,Advanced - Application,Expert - Knowledge,Expert - Application,Public Agencies,Private Sector,NGOs,Consulting,Academia
6.3.1,6,Policy & Regulatory Skills,6.3,RESOURCE ECONOMICS,Natural resource valuation,"Determining the economic value of natural resources, including both market values (like timber) and non-market values (like scenic beauty or clean air).","Estimate the economic value of timber, water, recreation, or other resources using market and non-market methods",Conduct willingness-to-pay studies or contingent valuation surveys,Present valuation results to inform budget planning or policy proposals,Understands economic valuation concepts and why resources have value beyond markets,Assists with data collection for valuation studies,Applies economic valuation methods appropriately,Conducts valuation studies independently,Expert in valuation theory and advanced methods,Leads complex valuation projects and develops methodology,Shapes valuation science and policy applications,Influences how valuation informs policy and decisions,"Cost-benefit analysis, damage assessment, resource pricing *","Natural capital accounting, resource asset valuation *","Conservation prioritization, advocacy based on values *","Valuation studies, economic analysis, litigation support *","Valuation research, methodology development, teaching"
6.3.2,6,Policy & Regulatory Skills,6.3,RESOURCE ECONOMICS,Ecosystem services assessment,"Identifying and measuring the benefits that ecosystems provide to people, such as clean water, flood control, pollination, or recreation opportunities.","Quantify services such as flood mitigation, carbon storage, or pollination",Use tools like InVEST or ARIES to model ecosystem service flows,Communicate ecosystem service benefits in planning or outreach materials,Understands ecosystem services framework and major service categories,Supports ecosystem service assessments with data collection,Applies ecosystem services science and assessment methods,Conducts ecosystem service assessments independently,Expert in ecosystem services science and applications,Leads comprehensive ecosystem service programs,Shapes ecosystem services science and policy,Influences ecosystem services at national/international level,"Ecosystem service assessments for decisions, natural capital accounting *","Natural capital protocols, ecosystem service dependencies and impacts *","Ecosystem service-based conservation, communication, advocacy *","Ecosystem service assessments, modeling services, corporate advisory *","Ecosystem services research, methodology development, teaching"
6.3.3,6,Policy & Regulatory Skills,6.3,RESOURCE ECONOMICS,Market-based conservation mechanisms,"Using economic tools and incentives to encourage conservation on private lands, such as conservation easements, habitat credits, or payment for ecosystem services.",Develop and implement programs like conservation easements or habitat credits,Structure contracts and financial incentives to encourage stewardship on private lands,Monitor compliance and ecological outcomes of enrolled properties,Understands market-based conservation concepts and major mechanisms,Supports market-based conservation programs,Applies market-based conservation principles and program design,Develops and manages conservation incentive programs,Expert in conservation finance and market mechanisms,Leads market-based conservation programs at scale,Shapes conservation finance policy and practice,Influences market-based conservation at systemic level,"Conservation incentive programs (EQIP, CRP, etc.), habitat banking, wetland mitigation *","Conservation easements, habitat credits, corporate PES programs *","Conservation easement acquisition, PES program development, landowner assistance *","Conservation finance design, easement services, mitigation banking *","Conservation economics research, program evaluation"
6.3.4,6,Policy & Regulatory Skills,6.3,RESOURCE ECONOMICS,Economic impact analysis,"Evaluating how environmental management decisions or policies affect local economies, including jobs, income, tax revenues, and business activity.","Analyze how proposed projects or policies affect local jobs, income, and business activity",Prepare economic sections for environmental assessments or grant applications,Communicate economic findings to stakeholders and elected officials,Understands economic impact concepts and data sources,Assists with economic impact data collection,Applies economic impact analysis methods,Conducts economic impact studies independently,Expert in economic impact assessment and regional economics,Leads complex economic impact analyses,Shapes economic impact assessment practice,Influences economic analysis policy and methods,"Economic analysis for NEPA, policy evaluation, program justification *","Project economic analysis, economic benefits communication *","Economic arguments for conservation, community benefits analysis *","Economic impact studies, cost-benefit analysis, expert testimony *","Regional economics research, impact assessment methodology"
6.3.5,6,Policy & Regulatory Skills,6.3,RESOURCE ECONOMICS,Carbon credit and offset programs,Working with systems that assign economic value to carbon sequestration and allow landowners to earn credits for practices that reduce greenhouse gases.,Measure and verify carbon sequestration from land management practices,Navigate voluntary or regulatory carbon markets for credit sales,Prepare offset documentation and reports for third-party verifiers,Understands carbon markets and offset concepts,Supports carbon project development,Applies carbon accounting and project development methods,Develops carbon offset projects,Expert in carbon markets and project development,Leads carbon offset programs at scale,Shapes carbon market policy and practice,Influences carbon markets at systemic level,"Carbon programs on public lands, carbon market oversight *","Corporate carbon offsetting, carbon project development, forest carbon *","Community carbon projects, carbon market advocacy, co-benefit standards *","Carbon project development, verification services, carbon strategy *","Carbon market research, offset effectiveness evaluation"
6.4.1,6,Policy & Regulatory Skills,6.4,POLICY DEVELOPMENT,Policy research and analysis,"Gathering and evaluating information about policy options, including their potential effectiveness, implementation challenges, and implications.",Review policy literature and case studies to inform management strategies,Analyze administrative and legislative proposals for environmental implications,Summarize policy options and trade-offs in briefing documents,Understands policy research methods and information sources,Conducts basic policy research with guidance,Applies policy analysis frameworks and research methods,Conducts independent policy research and analysis,Expert in policy analysis and research methodology,Leads comprehensive policy research programs,Shapes policy research practice and priorities,Influences policy research at systemic level,"Policy analysis for decision-makers, program evaluation *","Policy research for advocacy, impact assessment *","Policy research for advocacy, alternatives analysis *","Policy research services, analysis for clients *","Policy research, evaluation studies, teaching"
6.4.2,6,Policy & Regulatory Skills,6.4,POLICY DEVELOPMENT,Policy drafting and review,"Writing or evaluating the actual language of policies, ensuring they are clear, legally sound, and achieve intended objectives.",Write clear and legally sound policy language for internal or public use,Review proposed policies to ensure consistency with existing frameworks,Facilitate stakeholder review of draft policies to build buy-in,Understands policy structure and drafting conventions,Assists with policy drafting and review,Applies policy drafting principles and legal requirements,Drafts policies independently and manages review processes,Expert in policy drafting and legal frameworks,Leads development of major policies and regulations,Shapes policy drafting practice,Influences major policy development,"Regulatory development, internal policy, guidance documents *","Corporate policy development, model policies *","Model policy development, policy recommendations *","Policy drafting services, review and analysis *",Limited direct application; teaching policy process
6.4.3,6,Policy & Regulatory Skills,6.4,POLICY DEVELOPMENT,Regulatory impact assessment,"Analyzing how proposed policies or regulations might affect different stakeholders, the environment, and agency operations.","Assess how policy changes affect environmental quality, stakeholders, and operations",Estimate costs and benefits of alternative regulatory approaches,Prepare impact statements to support rulemaking or legislative action,Understands regulatory impact assessment concepts and requirements,Supports impact assessments with data collection,Applies impact assessment methods and cost-benefit analysis,Conducts regulatory impact assessments independently,Expert in regulatory impact analysis and economic evaluation,Leads complex regulatory impact assessments,Shapes regulatory impact assessment practice and policy,Influences regulatory analysis at systemic level,"Regulatory impact analysis, rulemaking support, program evaluation *","Regulatory cost analysis, advocacy, impact assessment *","Regulatory analysis for advocacy, impact critique *","Regulatory impact assessment services, economic analysis *","Regulatory analysis research, cost-benefit analysis methods"
6.4.4,6,Policy & Regulatory Skills,6.4,POLICY DEVELOPMENT,Public comment management,"Gathering, organizing, analyzing, and responding to public input on proposed policies or management actions.",Design processes for collecting and responding to public input on proposed actions,Analyze comment themes and summarize findings for decision-makers,Maintain public transparency by publishing comment summaries and responses,Understands public comment requirements and processes,Supports comment processes with guidance,Applies public participation principles and comment analysis methods,Manages comment processes independently,Expert in public participation and comment analysis,Leads complex public comment programs,Shapes public participation practice,Influences public engagement policy,"Rulemaking, NEPA, planning public comment processes *",Limited direct application; stakeholder engagement *,"Comment mobilization, analysis of agency responses *","Public engagement facilitation, comment analysis services *","Public participation research, deliberative democracy"
6.4.5,6,Policy & Regulatory Skills,6.4,POLICY DEVELOPMENT,Legislative process navigation,"Understanding how laws are made and implemented, and working effectively within legislative systems that affect environmental management.",Track environmental legislation and understand agency responsibilities,"Prepare testimony, briefings, or talking points for legislative engagement",Liaise with congressional staff to clarify technical aspects of proposed laws,Understands legislative process and how laws are made,Supports legislative tracking and engagement,Applies understanding of legislative process to advocacy and engagement,Engages with legislative process independently,Expert in legislative strategy and process,Leads legislative advocacy and engagement,Shapes legislative outcomes and policy,Leads major legislative initiatives,"Legislative affairs, testimony, technical assistance *","Government relations, legislative advocacy *","Legislative advocacy, grassroots campaigns, coalition building *","Legislative strategy, advocacy support *",Limited direct application; policy analysis of legislation SKILL AREAS (6.5 6.8)
6.5.1,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,Tribal consultation and coordination,Working respectfully and effectively with sovereign tribal nations on environmental management issues affecting tribal interests or rights.,Engage tribal governments early in project planning and decision-making,Facilitate government-to-government consultation meetings,Document and incorporate tribal input into environmental and land use plans,Understands tribal sovereignty and consultation requirements,Supports tribal consultation processes with guidance,Applies tribal consultation protocols and cultural awareness,Coordinates tribal consultation independently,Expert in tribal relations and co-management,Leads tribal consultation programs and partnerships,Shapes tribal relations policy and practice,Influences tribal consultation at systemic level,"Tribal consultation programs, co-management agreements, treaty rights *","Tribal engagement for projects, partnership opportunities *","Tribal partnerships, collaborative conservation, advocacy *","Tribal consultation services, cultural resource assessments *","Tribal relations research, traditional ecological knowledge studies"
6.5.2,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,Federal-state-local coordination,"Aligning environmental management efforts across federal, state, and local government agencies with different but overlapping jurisdictions.",Coordinate environmental management activities with other agencies to avoid duplication and conflict,Participate in interagency workgroups or task forces,Align timelines and data standards across jurisdictions for shared projects,Understands multi-level governance and jurisdictional authorities,Supports intergovernmental coordination,Applies coordination principles and builds relationships,Coordinates effectively across agencies,Expert in intergovernmental coordination and collaboration,Leads interagency initiatives,Shapes intergovernmental coordination policy,Influences coordination at systemic level,"Interagency coordination, multi-level governance programs *","Multi-jurisdictional permitting, agency coordination *","Collaborative conservation, multi-agency partnerships *","Coordination facilitation, multi-jurisdictional project management *","Collaborative governance research, federalism studies"
6.5.3,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,Interagency agreements development,"Creating formal arrangements between different government agencies to clarify roles, responsibilities, and working relationships.",Draft memoranda of understanding (MOUs) or interagency agreements for shared responsibilities,"Define roles, resource commitments, and protocols for joint initiatives",Monitor agreement implementation and update as needed,Understands interagency agreements and their purposes,Supports agreement development and implementation,Applies agreement development principles,Develops interagency agreements independently,Expert in interagency agreements and partnership structures,Leads complex agreement development and governance,Shapes interagency agreement practice,Influences collaborative governance frameworks,"Interagency MOUs, cooperative agreements, partnership development *",Public-private partnership agreements *,"Partnership agreements with agencies, collaborative initiatives *",Agreement facilitation and drafting services *,Collaborative governance research
6.5.4,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,Cross-jurisdictional planning,Developing management plans that work across political boundaries to address landscape-scale issues like watersheds or wildlife corridors.,Lead planning efforts that span watershed or ecosystem boundaries,Harmonize regulatory requirements and priorities across jurisdictions,Facilitate multi-jurisdictional stakeholder engagement processes,Understands cross-boundary issues and planning needs,Supports cross-jurisdictional planning,Applies landscape-scale planning principles,Coordinates cross-jurisdictional planning,Expert in landscape-scale planning and governance,Leads major cross-jurisdictional planning initiatives,Shapes landscape governance practice,Transforms cross-jurisdictional planning,"Watershed planning, landscape conservation, multi-jurisdictional coordination *",Landscape-scale planning for large ownerships *,"Collaborative conservation, landscape partnerships *","Facilitation of cross-boundary planning, regional planning *","Landscape planning research, collaborative governance"
6.5.5,6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,International conservation agreements,Understanding and implementing conservation commitments and collaborations that span international boundaries.,Support implementation of global agreements like the Convention on Biological Diversity,Coordinate with international partners on cross-border habitat management,Contribute data and reports to meet treaty or bilateral agreement obligations,Understands major international environmental agreements,Supports international agreement implementation,Applies international agreement requirements,Coordinates international conservation activities,Expert in international conservation policy and practice,Leads international conservation initiatives,Shapes international conservation policy,Influences global conservation frameworks,"International agreement implementation, transboundary coordination *","International sustainability commitments, global conservation partnerships *","International conservation programs, global advocacy, cross-border conservation *","International conservation project development, treaty implementation support *","International environmental law research, global conservation studies"
6.6.1,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Carbon accounting and quantification,"Measuring, calculating, and documenting greenhouse gas emissions and carbon sequestration for markets, inventories, and reporting.","Conduct greenhouse gas inventories for organizations, projects, or jurisdictions",Quantify carbon sequestration from land management or conservation activities,Develop monitoring and verification plans for carbon accounting,Understands carbon accounting concepts and GHG protocols,Assists with carbon measurements and calculations,Applies carbon accounting methodologies and standards,Conducts carbon inventories and quantification,Expert in carbon accounting science and verification,Leads carbon accounting programs and develops methodologies,Shapes carbon accounting standards and practice,Influences carbon accounting at systemic level,"GHG inventories, carbon monitoring programs, climate action planning *","Corporate carbon accounting, carbon footprint reduction, supply chain emissions *","Carbon project development, carbon accounting for advocacy *","Carbon accounting services, verification, methodology development *","Carbon science research, carbon cycle studies"
6.6.2,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Biodiversity credits and habitat banking,Developing and trading credits that represent biodiversity conservation or habitat restoration outcomes.,Develop biodiversity credit methodologies quantifying conservation outcomes,Establish or participate in habitat mitigation banks or conservation banks,Facilitate biodiversity credit transactions between buyers and sellers,Understands biodiversity credit concepts and mitigation banking,Supports biodiversity credit projects,Applies biodiversity credit methodologies and market mechanisms,Develops biodiversity credit projects,Expert in biodiversity markets and credit methodologies,Leads biodiversity market initiatives and policy development,Shapes biodiversity market practice and policy,Influences biodiversity markets at systemic level,"Mitigation banking oversight, biodiversity credit policy *","Conservation banking, biodiversity offsetting, credit development *","Biodiversity credit standards, conservation credit programs *","Habitat bank development, biodiversity credit brokerage *","Biodiversity offset research, ecological equivalency studies"
6.6.3,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Environmental market transactions,"Facilitating the buying, selling, and trading of environmental credits or allowances in voluntary or compliance markets.",Broker transactions between environmental credit buyers and sellers,Evaluate quality and pricing of environmental credits,"Navigate registries, exchanges, and market platforms for credit trading",Understands environmental market structure and operation,Supports market transactions,Applies market analysis and transaction facilitation,Facilitates environmental market transactions,Expert in environmental market dynamics and strategy,Leads market development and complex transactions,Shapes environmental market development,Influences market policy and infrastructure,"Market oversight, trading program administration *","Credit brokerage, corporate purchasing, market making *","Market development, standards setting, market monitoring *","Market advisory, transaction facilitation, market analysis *","Market research, policy analysis"
6.6.4,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Conservation finance mechanisms,Structuring financial arrangements that generate revenue for conservation from environmental benefits or ecosystem services.,Design payment for ecosystem services (PES) programs,"Develop conservation financing structures (green bonds, conservation funds, impact investments)",Build partnerships between conservation providers and beneficiaries,Understands conservation finance concepts and mechanisms,Supports conservation finance initiatives,Applies conservation finance principles and develops projects,Structures conservation finance mechanisms,Expert in conservation finance and innovative funding,Leads conservation finance initiatives at scale,Shapes conservation finance practice,Transforms conservation funding landscapes,"PES programs, conservation finance policy, green bonds *","Impact investing, corporate conservation finance, ESG investment *","Conservation project finance, PES design, green bond issuance *","Conservation finance advisory, project development, deal structuring *","Conservation finance research, impact evaluation"
6.6.5,6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,Green bonds and sustainable investment,Issuing or investing in bonds or financial instruments that fund environmental or climate projects.,Structure green bond issuances for environmental projects,Evaluate environmental credentials and impact of green investments,Ensure compliance with green bond principles and standards,Understands green bonds and sustainable investment concepts,Supports green bond issuance or investment analysis,Applies green finance standards and impact assessment,Structures green bonds or evaluates green investments,Expert in green finance and sustainable investment,Leads green bond programs and sustainable finance initiatives,Shapes green finance practice and policy,Transforms sustainable investment markets,"Municipal green bonds, sovereign green bonds, climate finance *","Corporate green bonds, sustainable investment products, ESG integration *","Green bond standards, sustainable finance advocacy, impact assessment *","Green bond advisory, impact verification, sustainable investment analysis *","Sustainable finance research, green bond effectiveness studies"
6.7.1,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Environmental health risk assessment,"Evaluating potential health impacts from environmental exposures to chemicals, pollutants, or other hazards.",Conduct exposure assessments for environmental contaminants,Calculate health risks from environmental exposures using standard methods,Communicate health risk findings to affected communities and decision-makers,Understands environmental health risk assessment concepts,Supports risk assessments with data collection,Applies risk assessment methods and exposure modeling,Conducts environmental health risk assessments,Expert in toxicology and risk assessment methodology,Leads complex risk assessments and develops approaches,Shapes risk assessment science and policy,Influences risk assessment at systemic level,"Site cleanup risk assessment, regulatory standard-setting, public health assessment *","Contaminated site assessment, product safety evaluation, liability assessment *","Community health advocacy, exposure studies, risk communication *","Risk assessment services, remediation planning, expert testimony *","Toxicology research, exposure science, risk assessment methodology"
6.7.2,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Environmental justice screening and assessment,Identifying communities disproportionately burdened by environmental hazards and integrating equity considerations into decisions.,"Use environmental justice screening tools (EJSCREEN, CalEnviroScreen) to identify overburdened communities",Conduct environmental justice analyses for projects and policies,Engage environmental justice communities meaningfully in decision-making,Understands environmental justice concepts and screening methods,Supports environmental justice assessments,Applies EJ assessment frameworks and community engagement principles,Conducts environmental justice analyses,Expert in environmental justice policy and practice,Leads environmental justice programs and policy integration,Shapes environmental justice practice and policy,Transforms environmental justice at systemic level,"EJ programs, screening, policy development, Title VI compliance *","EJ assessments for projects, community engagement, impact mitigation *","EJ advocacy, community organizing, litigation, policy reform *","EJ analysis, community engagement facilitation, impact assessment *","Environmental justice research, community-based participatory research"
6.7.3,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Community-based participatory research (CBPR),"Conducting research in partnership with communities, ensuring community voice and benefit in the research process.",Co-design research projects with community partners,Build community capacity for data collection and interpretation,Ensure research findings are accessible and actionable for communities,Understands CBPR principles and ethics,Supports CBPR projects as team member,Applies CBPR methodology and partnership principles,Co-designs and implements CBPR projects,Expert in CBPR and community-engaged scholarship,Leads transformative CBPR initiatives,Shapes CBPR practice and community-engaged scholarship,Transforms research-community relationships,"Community health studies, participatory monitoring, citizen science *",Limited application; community engagement for projects *,"Community-led research, advocacy research, participatory assessment *","Community engagement, participatory planning *","CBPR research, community-engaged scholarship, participatory action research"
6.7.4,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Toxicology and exposure pathways,Understanding how toxic substances affect human health and the routes by which people are exposed to environmental contaminants.,Evaluate toxicity of environmental contaminants,"Assess exposure pathways for chemicals in air, water, soil, and food",Identify vulnerable populations and exposure scenarios,Understands basic toxicology and exposure concepts,Supports exposure assessments,Applies toxicology principles and exposure assessment methods,Conducts exposure assessments and evaluates toxicity,Expert in toxicology and exposure science,Leads complex toxicological and exposure assessments,Shapes toxicology and exposure science,Influences exposure science at systemic level,"Toxicity assessment, exposure evaluation, standard-setting *","Product safety assessment, occupational exposure, liability *","Community exposure studies, health advocacy *","Exposure assessment, toxicology services, expert testimony *","Toxicology research, exposure science, environmental health"
6.7.5,6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,Air quality management,Managing and improving air quality to protect public health and meet regulatory standards.,Monitor air pollutant concentrations and assess compliance with standards,Develop air quality improvement plans and emission reduction strategies,Evaluate health impacts of air pollution on communities,Understands air quality standards and monitoring,Supports air quality monitoring and assessment,Applies air quality management and emissions control principles,Conducts air quality assessments and develops strategies,Expert in air quality science and policy,Leads air quality programs and policy development,Shapes air quality practice and policy,Influences air quality at systemic level,"Air quality monitoring, SIP development, permitting, enforcement *","Emissions management, compliance, air quality impact assessment *","Air quality advocacy, community monitoring, clean air campaigns *","Air quality modeling, permitting support, impact assessment *","Air quality research, atmospheric science, health impact studies"
6.8.1,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Climate finance mechanisms,Understanding and accessing diverse financial instruments and funding sources for climate projects.,"Identify appropriate climate finance sources for projects (GCF, GEF, bilateral, private)",Develop proposals for climate finance from public and private sources,"Structure blended finance approaches combining grants, loans, and equity",Understands climate finance landscape and mechanisms,Supports climate finance proposal development,Applies climate finance mechanisms and proposal development,Develops climate finance proposals and accesses funding,Expert in climate finance architecture and innovative financing,Leads climate finance programs and develops new mechanisms,Shapes climate finance architecture and policy,Transforms climate finance at systemic level,"Climate fund access, public climate investment, international climate finance *","Climate project finance, corporate climate investment, ESG investing *","Climate project development, climate finance advocacy, developing country support *","Climate finance advisory, proposal development, financial structuring *","Climate finance research, policy analysis"
6.8.2,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Green bonds and climate bonds,Issuing or investing in bonds specifically designated for climate change mitigation or adaptation projects.,Structure green or climate bond issuances for climate projects,Ensure compliance with Climate Bonds Standard and green bond principles,Prepare climate impact reports for bond investors,Understands green/climate bonds and their use for climate projects,Supports climate bond issuance or analysis,Applies climate bond standards and develops issuances,Structures climate bonds and evaluates investments,Expert in climate bond market and climate finance,Leads climate bond programs and market development,Shapes climate bond practice and policy,Transforms climate bond markets,"Sovereign/municipal climate bonds, climate project finance *","Corporate climate bonds, climate investment products *","Climate bond standards, market advocacy, impact assessment *","Climate bond advisory, verification, impact reporting *","Climate finance research, bond effectiveness studies"
6.8.3,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Carbon markets and trading,Participating in carbon markets where emission reductions or carbon credits are traded.,"Navigate compliance carbon markets (cap-and-trade, carbon taxes)",Develop carbon offset projects for voluntary markets,Evaluate carbon market regulations and trading opportunities,Understands carbon markets and trading mechanisms,Supports carbon market activities,Applies carbon market mechanisms and develops projects,Develops carbon projects and participates in trading,Expert in carbon markets and policy,Leads carbon market programs and policy development,Shapes carbon market policy and architecture,Transforms carbon markets systemically,"Carbon market oversight, cap-and-trade administration, carbon pricing policy *","Compliance trading, carbon management, offset development *","Carbon market advocacy, standards development, market monitoring *","Carbon market advisory, trading strategy, compliance support *","Carbon market research, policy analysis, effectiveness evaluation"
6.8.4,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Adaptation finance,Accessing and deploying financial resources specifically for climate change adaptation projects and programs.,Identify adaptation finance sources and develop funding proposals,Demonstrate adaptation rationale and benefits in project design,Monitor and report adaptation outcomes for funders,Understands adaptation finance needs and sources,Supports adaptation finance proposals,Applies adaptation finance mechanisms,Develops adaptation finance proposals and projects,Expert in adaptation finance and project development,Leads adaptation finance programs,Shapes adaptation finance architecture,Transforms adaptation finance systemically,"Adaptation fund access, adaptation investment programs *","Climate resilience investment, adaptation project finance *","Community adaptation finance, adaptation advocacy, project development *","Adaptation finance advisory, proposal development *","Adaptation finance research, effectiveness evaluation"
6.8.5,6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,Climate investment risk assessment,Evaluating financial risks from climate change impacts on investments and developing risk mitigation strategies.,Assess physical and transition risks from climate change on investments,Develop climate risk disclosure and reporting frameworks,Integrate climate risk into investment decision-making,Understands climate-related financial risks,Supports climate risk assessments,Applies climate risk assessment methods,Conducts climate risk assessments,Expert in climate risk and financial analysis,Leads climate risk programs and strategy,Shapes climate risk practice and disclosure,Transforms climate risk in financial sector,"Climate risk oversight, systemic risk assessment, disclosure requirements *","Investment risk assessment, climate disclosure, resilience planning *","Climate risk advocacy, disclosure monitoring, investor engagement *","Climate risk assessment services, TCFD implementation, scenario analysis *","Climate risk research, financial stability studies DOMAIN-LEVEL COMPETENCY FRAMEWORK"
7.1.1,7,Cross-Cutting Professional Practice,7.1,PROFESSIONAL ETHICS ARCHITECTURE,Indigenous data sovereignty and governance,"Applying Indigenous data sovereignty principles to ensure that tribal nations and Indigenous communities retain governance authority over data collected about their lands, peoples, and knowledge systems.","Apply CARE Principles (Collective Benefit, Authority to Control, Responsibility, Ethics) alongside FAIR Principles when designing data governance protocols for projects involving Indigenous lands or knowledge systems","Negotiate data governance agreements with tribal governments specifying data ownership, access conditions, repatriation rights, and culturally appropriate use restrictions",Audit organizational data practices for compliance with Indigenous data sovereignty obligations and develop institutional protocols that protect tribal governance rights,"Understands that data sovereignty is a rights issue, not a data management protocol; distinguishes FAIR from CARE Principles; recognizes when data collection triggers Indigenous data sovereignty obligations",Follows established Indigenous data governance protocols with supervision; identifies relevant tribal data governance requirements for a given project,Applies CARE Principles to specific project contexts; understands FPIC as it applies to data collection and use; understands conflicts between standard agency data management requirements and tribal data governance requirements,Designs data governance frameworks that satisfy FPIC standards; engages tribal data governance offices as institutional partners,"Expert in the legal and institutional landscape of Indigenous data sovereignty, including tribal data governance codes, UNDRIP provisions, and federal consultation requirements; understands CARE Principles as a governance architecture, not just a checklist",Negotiates binding data governance agreements; develops organizational data sovereignty compliance programs; navigates conflicts between agency mandates and tribal governance authority,Shapes institutional and agency standards for Indigenous data sovereignty compliance; recognized authority on CARE Principles implementation in environmental management contexts,Advances field-wide frameworks for Indigenous data governance; influences policy on FPIC and data sovereignty obligations,"Tribal consultation, federal land data governance, Indigenous partnership protocols *",Data governance for projects on or adjacent to tribal lands *,"Community-based monitoring partnerships, TEK documentation governance *","Data sovereignty compliance advisory, tribal partnership design *","Indigenous data governance research, CARE Principles pedagogy"
7.1.2,7,Cross-Cutting Professional Practice,7.1,PROFESSIONAL ETHICS ARCHITECTURE,Intervention authorization and ecological precaution,"Evaluating proposed ecological interventions against reversibility, historical precedent, and authorization standards to determine whether precautionary criteria are met before proceeding.","Evaluate proposed ecological interventions against reversibility, historical precedent, and scientific uncertainty criteria to determine whether precautionary triggers apply","Identify parties with standing to authorize interventions in specific management contexts — landowners, regulatory agencies, tribal governments, affected communities — and design engagement processes that satisfy authorization requirements","Develop intervention decision frameworks specifying authorization requirements, reversibility thresholds, monitoring obligations, and exit conditions for proposed management actions","Understands that technical feasibility does not constitute authorization; distinguishes passive, low-intervention, and high-intervention management approaches and their different ethical stakes; recognizes the precautionary principle as an operational decision criterion",Identifies when a proposed action triggers precautionary review; applies a checklist-based precautionary assessment with guidance,Applies precautionary criteria to specific intervention proposals; understands authorization standing across institutional contexts; evaluates historical precedent as an authorization criterion,Conducts independent precautionary assessment for a proposed intervention; facilitates multi-stakeholder authorization processes,"Expert in intervention ethics frameworks; deep understanding of authorization landscapes across regulatory, tribal, and landowner contexts; applies precautionary governance frameworks in contested multi-stakeholder environments",Designs intervention authorization frameworks; navigates conflicts between organizational intervention preferences and authorization requirements; provides authoritative guidance on precautionary criteria,Advances field-wide frameworks for ecological intervention authorization; recognized authority on precautionary governance; shapes institutional standards for high-intervention management,Contributes to policy development on intervention authorization; influences professional standards on precautionary practice,"High-intervention management authorization, NEPA alternatives analysis, tribal consultation for interventions *","Ecological engineering project authorization, habitat intervention design *","Conservation intervention decision frameworks, assisted migration governance *","Intervention authorization advisory, precautionary assessment services *","Intervention ethics research, precautionary principle pedagogy"
